track_id	track_name	track_artist	track_popularity	track_album_name	track_album_release_date	playlist_name	playlist_genre	playlist_subgenre	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
5iFwAOB2TFkPJk8sMlxP8g	Make You Mine	PUBLIC	79	Make You Mine	2019-08-09	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.606	0.799	9	-4.452	1	0.0261	0.0128	0	0.15	0.638	103.014	232907
3GzZfni9NCD54x1prgpIYl	Daphne Blue	The Band CAMINO	13	Daphne Blue / See Through	2019-05-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.567	0.925	1	-2.775	0	0.0906	0.00239	0.0054	0.348	0.704	118.006	182840
3lPj2nA1lIrWIpbnhNG57v	these are my friends	lovelytheband	59	finding it hard to smile	2018-08-03	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.617	0.732	11	-6.737	0	0.0278	0.0278	0	0.125	0.723	84.977	208947
4hnjS0dbHpJwBlCkEAKVyX	Cemetery	COIN	60	Cemetery	2018-11-16	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.655	0.856	1	-4.615	0	0.0315	0.148	3.67e-06	0.126	0.941	126.984	177147
368q7QWp27Qbvh7wWFIyA2	Once In A Lifetime	Lost Stars	24	Once In A Lifetime	2019-04-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.758	0.805	6	-4.725	0	0.113	0.0343	1.37e-05	0.0458	0.587	107.935	178377
3lWHWGrRrVrEoYwolWZ38x	Replace It, Forget It	THE WLDLFE	35	Replace It, Forget It	2019-10-18	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.554	0.768	6	-6.042	0	0.0387	0.00794	0.0145	0.356	0.753	150.062	206223
7yCyhsU75MYdbeqRLhLY51	smiling when i die	Sasha Sloan	68	smiling when i die	2019-09-20	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.753	0.41	0	-10.636	0	0.132	0.816	0.00217	0.104	0.231	93.001	206437
3GRSqlALWISqLeNncZMbpX	Mean It	Lauv	85	how im feeling	2019-11-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.746	0.45	7	-8.543	1	0.0872	0.0407	0	0.172	0.336	95.998	232853
65Bynqyt59f3fojjs1Uo41	Stay With Me	ayokay	68	In the Shape of a Dream	2018-08-31	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.695	0.695	2	-6.612	1	0.0706	0.489	0.00019	0.131	0.468	100.021	189787
46QBu7dvDRKji86LUB2Vaa	Low Tide	XY&O	38	Low Tide	2015-05-28	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.559	0.799	9	-5.807	0	0.0455	0.000397	0.00958	0.0609	0.367	116.975	202532
33DzKnwuBE6lfOiADwzd5E	TOOTIMETOOTIMETOOTIME	The 1975	70	A Brief Inquiry Into Online Relationships	2018-11-30	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.667	0.824	8	-5.867	1	0.0665	0.177	0.0152	0.0933	0.518	114.998	207851
3RbmtLzTMJsbJaXG9wCgwq	Chimera	Cheerleader	29	Chimera	2019-10-16	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.46	0.966	0	-3.292	1	0.0476	0.00386	2.54e-06	0.451	0.299	119.987	251338
75ylrnob5O80WTKi9ugZ1Z	Problems	A R I Z O N A	72	ASYLUM	2019-10-11	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.72	0.658	2	-7.414	1	0.0446	0.0329	0.0302	0.123	0.134	98.001	171898
2k7GyFSbErjCvk1QlTChxL	tokyo	joan	51	tokyo	2017-12-13	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	pop	indie poptimism	0.631	0.786	9	-5.267	1	0.0353	0.00716	0	0.12	0.761	102.027	226335
